id,datum,naam,inhoud,bron,getuigen,bijzonderheden,
1090091,1410~,"Ingen, van","leenregister Culemborg: - Herman van Ravenswade 8 hont land in Ravenzwader mate, belend boven: Florens van Ynghen, beneden: Alaert Henricsz (fol 5); - Alaert van Ynghen 4 morgen (fol 33v); - Otte van Wijc 6 morgen land min 1 ½ hont in het nederbroec in de Vredecamp, belend boven: de heer van Buren, Otte die Swerte, Herman Hille, beneden: Florijs van Ynghen; dit leen was Otte overgedragen door Jan van Ommeren (fol 37); - Aernt Loef Henrixsz 5½ morgen gelegen van de Broecstege tot aan die Zoelen, belend boven: Florens van Inghen en Philips bastaard van Culemborg, beneden: Hubert van Culemborg heer van Meere (fol 38v)",Leenregister Culemborg,,,
1090092,1410~,"Ingen, van","leenregister Culemborg: - Eesse Henric Trantsdochter, vrouw van Jan van Yngen, 3 akker land binnen en buitendijks in Wellincwijc in het gericht van Honswijc, belend boven: Geryt Aerntsz, beneden: Willam die Goyer Henricsz (fol 46v); - heer Johan van Kulenborg o.a. nog 12 morgen land met een hofstad waar Wolter van Ynghen op woont, en die half tot de hofstede tot Blochoven hoorde (fol 67); - vrouwe Katherine vrouw van heer Heinric van Mauderic, 81 morgen in het maelscap van Mauderic, geheten t Breedslach, belend boven: die heren van Yngen, beneden: Coops stege (fol 56v); - Jan Stevensz ½ gheweere ter Weijde, bij Alaert Heynenz alrenaest (fol 44)",Leenregister Culemborg,,,
1090093,1359-1360,"Ingen, van","Heyn van Ingen: van de tienden van heer Hughecoch, 7 £ 15sc (806 fol 11v) en van de tienden van heer Hughencoech, 6 £ 15sc (807 fol 11v); (fol 29v) afterstal hiervan over 1359, 8 £ 18d; 1357-1358: (805 fol 12) van de tienden van heer Hughencoech, 31 sc","Rek Rentmeester Kennemerland 806 fol 11v, 807 fol 11v, 29v, 805 fol 12",,,
1090094,1466-01-22,"Ingen, van","leen van Vianen, Lexmond: no 665) een viertel in Cortenover, waarvan 2 morgen gemeen met Jan Symonsz, belend boven: Jan van Lakerveld, beneden: Pieter Mathijsz en 2 morgen gemeen met Luitgen Roelofsz, belend boven: Aleid van der Eem, beneden: de heren van Oudmunster, 1466-01-22: Wouter van Ingen (= van der Donk) na overdracht door zijn broer Jan van der Donk, neven van de leenheer",Ons Voorgeslacht 07/08-1988 p 297,,,
1090095,1651,"Ingen, van",lid van het St Jorisgilde te Harderwijk: 1561 Jurrien van Ingen; 1649: Jacob van Ingen,Wapenheraut jg I: 60,,,
1090096,1358,"Ingelsheim, van","uitgaven van de bursa Xantensis:  pro quarta vini propinata Lovoni de Berenbroyc in tractatu Ottonis de Ingelsem, 12d",Quellen Stift Xanten p 186,,,
1090097,1400-1415,"Ingelsheim, van","ad curtem Honnepel: in bonis dictis Rimgisguet habet primam manum Greta de Daerde, secundam Iwanus de Ingelshem, tertiam Stina filia Henrici de Baerle (?)",Quellen Stift Xanten p 356,,,
1090098,1322,"Ingenes, van","Adelheid, dochter van Wouter van Ingenes x Johan van Schonauwen",Batavia Illustrata bl 1207,,,
1090099,1363,Ingenhave,"Willem Ingeen Have, chevalier, temoin à l'acte de Thierry van den Berghe, relatif à son mariage avec Elisabeth de Friemersheim, zuster van heer Bove van Friemersheim in haar huwelijk met Dirk van den Berghe","De Raadt II p 89, I p 231/Düss Orange Moers no 26","bezegeld door: Isebrant Proyt, Willam Ingeen Have, Otto van den Gruythuyse, chevaliers; Herman Stecke",,
1090100,1366,Ingenhave,"Willam in den Have scelle un acte de Bove, seigneur de Friemersheim",De Raadt II p 89/Düss Orange Moers no 29,,,
1090101,1368,Ingenhave,"Henri van Vrimersheim, frère de sire Bove seigneur de Friemersheim, déclare, sous forme de promesse, que s'il ne peut racheter, dat guet to Zeelst au pays de Moers, et d'autres biens, vendus par lui à Ysbrand In ghien Have, sire Jean van Moers, chevalier, les rachètera ",De Raadt I p 470/Düss Orange Moers no 30b,,,
1090102,1369,Ingenhave,"Bernard in ghoen Have (randschrift: Inghenhave), le vieux, Jacques in ghoen Have et d'autres, déclarent être devenus (?) hommes du comte de Berg et de Ravensberg",De Raadt II p 89/Düss Jul Berg no 837,,,
1090103,1370,Ingenhave,"Frederic In ghen Hoeve, caution envers le seigneur de Schoonvorst",De Raadt II p 89/Düss Cleves Mark no 400,,,
1090104,1374,Ingenhave,"Werner, Isebrant et Reyn in Ghoen have (randschrift: Ingenhove, Ingenhave), frères, cautions de Hedwige, veuve de Jean Baeke (Bake), chevalier",De Raadt II p 90/Düss Werden no 147/47,,,
1090105,1375,Ingenhave,"Werner in gon Hove, écuyer, scelle un acte de Frederic seigneur de Moers, vendant à Jacques ingoen Haeve, ""enen beschedenen manne onse twee have tho Buedberge""",De Raadt II p 90/Düss Orange Moers no 40,,,
1090106,1375,Ingenhave,"Gerardus de Matlaer, miles, scelle avec Werner Ingenhave un acte de Frederic de Moers; idem: Jacobus dictus Smelynck, écuyer","De Raadt II p 428, 415/Düss Cleves Mark no 421",,,
1090107,1375,Ingenhave,"Werner In gon Hove, écuyer, scelle parmi les consanguinei et amici dilecti de Frederic de Moers, qui déclare tenir d'Adolphe comte de Cleves, le château et la ville Moers, et les jursdictions de ses villes à l'exeption des villes de Boitbergh et de Crevelt","De Raadt II p 90, I p 334",sceau de Jean sire de Broechusen,,
1090108,1378,Ingenhave,"uitgaven bursa Xantensis: pro 2 quartis vini propinatis scolastico Clivensi et dom Wilhelmo Ingenhave, militi, 3 sol 4d",Quellen Stift Xanten p 226,,,
1090109,1384,Ingenhave,"uitgaven bursa Xantensis: nuncio, misso Berkam (Rheinberg) ad Bernardum ingen Have antiquum ad tenendum diem placiti pro capitulo inter capitulum et domicellum de Goterswyc, 14d",Quellen Stift Xanten p 261,,,
1090110,1392-11-11,Ingenhave,"Henri van Friemersheim, zoon van heer Bove, prie l'abbé de Werden d'investir le comte Frederic de Moers de sa part de Friemersheim, qu'il lui a cédée (acte sans date); il déclare avoir cédé cette part, avec tous les droits etc; 1393: il déclare avoir reçu dudit comte, 50 florins sur 300 florins qu'il lui devait van der erfnisse der herscap van Vrijmershem","De Raadt I p 470/Düss Orange Moers no 46, 51 of 31","il déclare avoir cédé cette part, avec tous les droits, jurisdictions et les hommes suivants: sire Wilhem van Eyle, chevalier, Werner et Isbrant Inghen Have, Johan van Merwick (Meerbeek), Johan van Barle, Rutger Tecger, Johan Kerle, Jacopp Kreytz van Crevelt, Godertz ter Neypen, Arnt van Wevort, Henrick van Galen, Herman van Hattorp",,
1090111,1394,Ingenhave,"census in platea Clivensi te Xanten: 6 sol per domum Luvonem ingen Have, portarium ecclesie Xantensis datos; census in platea Reni: de domo Johannis Kemener 12d, nunc Hennekini ingen Have","Quellen Stift Xanten p 319, 320",,,
1090112,1394,Ingenhave,"census de areis et casis in Palude minori, prope Xantis: Mensel de area dicta Iserenhart, 8 sol et habent in eadem suos vite ductos Gerardus de Ebbichaven et ejus uxor (nunc per Theodericum Inghen Haeff ad vitam suis  et uxoris sue et solvet de cetero 8 antiquos botdreger = 3 mark 32d)",Quellen Stift Xanten p 322,,,
1090113,1394,Ingenhave,"census in Palude Majori, prope Xanctis: de area seu domistadis empta erga Johannem ingen Have, per Herm Bruyns, 30 all den Colon et 2 pullos censuales",Quellen Stift Xanten p 322,,,
1090114,1400,Ingenhave,"Pachtregister van de kelnerij: - decima Pijst, principales: Theodericus ten Herenhave, Johannes inger Schuren, Johannes ingen Have; - decima Brant: principales: Theodericus ten Herenhave, Johannes inger Schuren, Johannes ingen Have; - decima Montis: Gyso inghen Have",Quellen Stift Xanten p 164,,,
1090115,1400,Ingenhave,"agri pertinentibus as mansum ter Molen: - 6 schepelsaet, dat is een stelt, sita up die Hogestrate prope agros Nicolai ingen Have",Memorien Stift Xanten p 234,,,
1090116,1400-1415,Ingenhave,in uno maldrato sito in parochia Spellen habet manum Hen [ricus ?] ingen Have de Emelshem,Quellen Stift Xanten p 371,,,
1090117,1409,Ingenhave,"Gottschalk van Raide fait, avec le comte de Cleves, un accord au sujet du patronat de Barle, qu'il tiendra de lui en fief, et lui cèdera, par entre, mijnen hoff geheiten Ingen have … in den dorpe toe Raide, in den kirspel van Buechem (Bockum?)",De Raadt III p 246/Düss Cleves Mark no 678,,,
1090118,1453,Ingenhave,"census binnen Xanten: in platea Reni, de domo Johannis ingen Have",Quellen Stift Xanten p 45,,,
1090119,1470,Ingenhave,"confinaciones curtis Xantensis: - 2 mudsaet geheten die steenacker mit den enen eijnde up den Pystwegh ende mit den andern eynde doir Wairder wegh, belend tussen: Henrick inghen Dornen en land dat Henrick inghen Have to Lutingen bouwt; - ½ maldersaet bij Johans pasch ingen Have en ligt in de kampt te Verwart van Johan van den Bergh",Quellen Stift Xanten p 342,,,
1090120,1554,Ingenhave,canonicus Xantensis: heer Gerridt Ingenhave,Quellen Stift Xanten p 333,,,
1090121,1496,Ingen Nulant,"Arnt ingen Nulant, juge à Clèves",De Raadt II p 137/Düss Cleves Mark no 658,,,
1090122,1517,Ingen Nulant,"Guillaume Inghenulant en zijn vrouw Henriette van Bronchorst, promettent de rendre indemne Josse van Randwijck, leur swager et neve, s' étant porté fort pour eux, du chef d'une rente, vendue par eux à Thierry van Meeckeren, sure une terre à Puyflijk","De Raadt II p 137, I p 336",,,
1090123,,"Inhausen, van",genoemd: Ido van Inhausen x Eriana van Elteren,Batavia Illustrata bl 1009,,,
1090124,,"Insula, de",zie: uten Weerde,,,,
1090125,1546-1556,Ingersmitten,"leenman en getuige van Gaasbeek (Utrecht): Henrick Ingersmitten (1546-10-05, 1545-08-04, 1548-02-10, 1549-08-08, 1549-09-06, 1550-05-24 [Ingersmit], 1550-07-02, 1551-07-04, 1552-09-28, 1552-10-12, 1552-11-28, 1553-11-17, 1553 [09], 1555-10-27, 1556-02-28); 1547-04-22: hij doet de leeneed voor Adriaen Cornelisz, zoon van Cornelis Anthonisz, beleend in Elsterveen; 1556-04-20: hij doet de leeneed voor Alyd, dochter van Willem Vonck en van Nenne voor ⅓ van de helft van 36 roeden veen in het kerspel van Rhenen, en draagt deze over",Rep Stichtse Leenprotocollen p 502,,,
1090126,1548-08-03,Ingersmitten,"Henrick Ingersmitten, deurwaarder bij het Hof van Utrecht, ook 1550-01-01","Grote Raad Mechelen Beroepen Holland dl V dossier 466/3, 466/5",,,
1090127,1664-07-31,"Inn und Kniphausen, van","stierf Carel Hieronymus baron van Inn und Knyphausen, heer van Lutzborch, Nienoort, Vredewolt en Uplewert, lid van de Staten van Groningen en van de Staten Generaal x Anna van Ewsum","Ned Leeuw jg 1915 p 246, 247",,,
1090128,1623-11-15,"Inpijnen, van","Zuid Akendam: jvr Catharina van Inpijnen koopt van David van Santen coorncoper een losrentebrief van 800 Kar gld hoofdsom, ten laste van Mees Thimansz van der Linden, backer te Leiden. Dit volgens schuldbrief van schout en schepenen van Leiden, op 1615-10-14 gepasseerd","Protocol van Schoten, Haarlemmerliede en Akendam fol 141",,,
1090129,1347-05-30,Ypelaer,"Willem van Drimmelen, ridder, draagt over aan zijn zoon Jan van Drimmelen al zijn leengoed in Drimmelen, van de weg tot de Maas",Van Mieris II p 738,"Jan van Drongelen, ridder, Pieter Ypelaer, Mase van Dobbelmonde, broer van Willem",,
1090130,1359-11-16,"Ypelaer, van","huwelijksvoorwaarden tussen Jan van Ypelaer en jvr Oede, nicht van de vrouwe van Putten",Taxandria 1923 p 282/Reg Putten en Strijen met de houten borden fol 46,,,
1090131,1368,"Ypelaer, van","schepenprotocollen 's Hertogenbosch: heer Adam van Berchen, ridder, leefde in 1368 en was bij zijn vóór 1393 overleden echtgenote vrouwe Katharina (dochter van wijlen jvr Mabelia van Nypelaer [Ypelaer], dochter van wijlen Emond Rover) vader van: Jan, Wouter en Katharina van Berchen",Ned Leeuw jg 1913 p 227,,,
1090132,"1374, 1378","Ypelaer, van","Jean le bâtard van Nypelaer, jadis prisonnier à Basweiler, sous le sire de Vorsselaer, 50 ⅔ moutons; 1378: Jean van Ypelaer",De Raadt II p 137,,,
1090133,1400,"Ypelaer, van","het beneficie in de kerk te Bavel, gesticht door Peter van Ulvenhout, is in het bezit van Jan van Ypelaer (vgl 1430)",Taxandria jg 1923 p 267,,,
1090134,1472,"Ypelaer, van","Aert van Berhem, ridder, noemt jvr Oede van Ypelaer, weduwe van Jan van Royen, zijn nicht; idem 1501-05-25",Taxandria jg 1923 p 268/Brussel Bibl Royale no 4472; R.A. Brussel Chartes diverses,,,
1090135,1473-02-12,"Ypelaer, van",stamreeks van Ypelaer,Taxandria jg 1923 p 281,,,
1090136,"1538, 1559","Ypelaer, van","Pierre van Ypelaer, fils de Jean, échevin de Heusden",De Raadt II p 137,,,
1090137,1573-11-06,"Ypelaer, van","Hans van Ypelaer, gecommitteerd munitionaris en proviandmeester van Geertruidenberg",Navorscher 1897 p 386/Depeches Prins Willem I,,,
1090138,1576-12-11,"Ypelaer, van","Joost Ypelaer Pietersz wordt beleend, na dode van zijn moeder Wilhelma Jansdochter van Heukelom, met een camp van 3 morgen, geheten de Middelste camp, uit 20 morgen gelegen in Polsbroeker Kindercamp, hulde doet voor hem Willem Pels","R.A.H. Coll Aanw 141 fol 153, 107",,,
1090139,1607-08-25,"Ypelaer, van","gedoopt RK te Roosendael (Br): Anna, dochter van Hendrik van Zevender, schout van Roosendael en van Susanna van Eck, peter en meter: Egiduis van Speleir en Elisabeth van Sevender",Taxandria jg 1923 p 73,,,
1090140,1549,Ypelaar,"Reijer van Klootwijk, ridder werd begraven met de volgende 8 kwartieren: Klootwijk, Polanen, Nederveen, Couwenhoven, Borggraaf, Scelluijnen, Rijswijk, IJpelaar",Batavia Illustrata bl 996,,,
1090141,1730-01-01,Ypenberg,"gedoopt te Noordschermer, Geref, Guurtje Klaesz, also sij van Mennist afkomst was en nu belijdenisse van de Geref Religie gedaen hadden [onjuist: Guurtje Klaes [Ypenburg] deed 1730-01-29 belijdenis]",DTB Noordschermer,,,
1090142,1419-11-12,"Yperen, van","de tribus magnis graminibus terre, sitis in Lymmen, circa pontem de Lymmen, emptis erga Hugonem Ghysberti socrum Wilhelmi de Yperen",Bijdr Bisdom Haarlem/Cartul Egmundense,,,
1090143,1468-07-27,"Yperen, van","Dirc van Yperen, ""man"" van der Nieuwerkerk onder Hardincsvelt",R.A.H. Coll Aanw 240 fol 1005v,,,
1090144,1677,"Yperen, van","overleed Jan Velsen, secretaris van de stad Beverwijk, zoon van Cornelis en --- van Yperen, baljuw van den lande van Blois",Mededeling Ir D.W. van Dam van Hekendorp,,,
1090145,1172-06-18 - 1172-09-24,Irregang,bisschop Godfried schenkt de voogdij over de landen van het kapittel van St Jan te Balgoye aan de proost van dit kapittel,Oorkbk Sticht Utrecht no 473,"onder de getuigen, ministeriales: Hermannus Irregang",,
1090146,1238,"Iseghem, van","Baudoin seigneur d'Ysenghien, chevalier (vgl het wapen van Maldeghem)","De Raadt II p 138, 139",,,
1090147,1587-12-17,"Iseghem, van","jhr Jan van Yseghem, ceur van den prostie van St Donaes, wonende te St Winoksbergen, wordt poorter aldaar",Indices Poorterboeken St Winoksbergen p 265,,,
1090148,1374,"Iseghem, van","Roger van Yseghem, chevalier, jadis prisonner à Basweiler, sous Louis de Namur, 1048 moutons; idem Jean van Yseghem, 1192 moutons","De Raadt II p 138, 139",,,
1090149,1374-12-15,"Iseghem, van","Roger van Yseghem, chevalier, ayant combattu à Basweiler, sous son seigneur et maitre sire Louis de Namur,  donne à Jean van Yseghem, son neve, et à Roelkine, son propre frère bâtard, ses pouvoirs aux fins de recevoir, à Bruxelles, l'indemnité qui lui est du",De Raadt II p 138,,,
1090150,1453,"Iseghem, van","Perceval van Yseghem, homme de fief de Waleran seigneur de Wavin, Lillers etc, chevalier",De Raadt II p 138,,,
1090151,"1445, 1447, 1448","Iseghem, van","Roger de Rikere reçoit une rente viagère sur le domaine de Courtiac inscute sur la vie de damoiselle Martine Maelfeyt, femme de Bernard van den Raporte, rente qu'il avait acheteé de Perceval de Yseghem, qui l'avait hériteé de Guillaume Maelfeijt",De Raadt III p 226,,,
1090152,1460,"Iseghem, van","Lancelot D'Ysegheem, échevin et cuerer de la chatellanie de Furnes",De Raadt II p 139,,,
1090153,1156,"Ysela, van","de graaf van Holland verwisselt enige goederen met de abt van Echternach: - de abt staat al zijn kerken in Holland en Friesland af aan graaf Dirk in ruil voor land op Schouwen, o.a. ecclesiam de Agatenkereca; ",v.d. Bergh I no 133,"testes o.a.: Godefridus de Breda, Florentius de Noszam, Theodericus de Altena, Albartus de Mi, Alwinus castellanus, Everdey de sine Casa, Wilhelmus filius Bartoldi, Dodinus filius Elboldi, Bartholdus dapifer [van Pendrecht], Gherardus nepos, Ernest pincerna, Herenbolt de Hadaspick, Davit scultetus, Jacobus de Dussan, Arnest Serwal, Wicher Pistor, Daniel de Rodenrisa, Maurinus de Ysela, Unarch de Nadlwiic etc",,
1090154,1169-09-24<,"Ysela, van~","Boudewijn, proost van St.Marie te Utrecht, beleent zijn kapittel met tienden en gerecht te Wiltenburg en tienden te Lopik, die Gerardus domini Fraberti filius van hem in leen hadden en nu aan hem opgedragen hebben",Oorkbk  Sticht Utrecht no 466,"Florentius comes Hollandiae et fratres Robertus et Otto, Florentius de Vorne, Wilhelmus Luscus, Hugo de Islemunde, Theodricus Quintus, Engilbertus, Giselbertus, Heinricus de A, Theodricus Knif, Heinricus Niger, Hezelo de Wercundia, Frethericus f. Arnoldi, Bertoldus de Paindreht, Maurin et filius Theodricus [van IYsela; of behoorden zij tot het geslacht van Monster ?], Volpreht [=Folpert] Kind, Bertoldus de Imecek",,
1090155,1255-12-14,"Isenburg, van","Gerlacus zoon van Henricus heer van Isenburg, gehuwd met Elisabeth dochter van wijlen Dirk graaf van Cleve, verklaart ter zake van de nalatenschap van haar vader voldaan te zijn",Ned Leeuw jg 01-1938 p 32/Lacomblet II no 422,bezegeld door Heinrich heer van isenburg,,
1090156,1263,"Isenburg, van","Theodericus comes de Ysenberg, sa femme Aleydis, nobilis --- et leur fils, Jean, donnent à Marguerite comtesse de Berg et à son fils aîné Adolphe, curtem dictam antiquam, sitam in Mulenheim, à titre de gage",De Raadt II p 139/Düss Jul Berg no 48,,,
1090157,1269,"Isenburg, van","Ludovicus de Ysenburg, inféode à Guillaume comte de Juliers, ses biens juxta Ortenburg",De Raadt II p 139/Düss Jul Berg no 54,,,
1090158,1273-05-28,"Isenburg, van","Engelbrecht van Isenbourg, aartsdiaken van Kempen; idem 1273-06-12","Limburgse Oorkonden III no 2054, 2055 p 17",,,
1090159,1276,"Isenburg, van","Gerlacus, nobilis vir de Ysenburg, dominus de Arenfels et Lisa, sa femme, promettent de stasfaire leurs créanciers de Cologne, avant la Saint Martin en hiver","De Raadt II p 139/Ville de Cologne no 422, 3 en 4",,,
1090160,1304,"Isenburg, van","Theodericus de Ysenburg, miles, scelle un acte de Henricus de Rinecken, canonicus Coloniensis, frater burgravii quondam de Rinecker existens tutor liberorum et heredum burgravii predicti et qui le dit ""avunculus liberorum fratris mei predicti""",De Raadt II p 139/Düss Jul Berg no 160,,,
1090161,1315,"Isenburg, van","Godefridus de Sayn dominus de Vollmarstein et sa femme Sophie vendent des biens à Adolphe comte de Berg, met wapen van Theodericus en van dominus Zalantinus de Ysenburg",De Raadt II p 139/Düss Jul Berg no 229,,,
1090162,1318-07-21~,"Isenburg, van","Herman die herre van Heffinstein und Mechtelt, weduwe van heer Heinrich, moeder van Herman, enerzijds en Agnes vrouwe van Mühlbach, weduwe van heer Herman heer van Helfenstein en vrouw van Frederik van Bratidenburg (?), sluiten een overeenkomst over de kastelen Mulinbach en Helfenstein",De Raadt II p 529,"getuigen: heer Dirk van Isenburg, Johan van Brunishorn, Gerard van Paffindorp, Cuno maarschalc van Alfter, Lodewijk en Gerard, burggraven van Hammerstein",,
1090163,1326,"Isenburg, van","Luther, eyn herre von Ysenburg, se dit vassal du comte Gerard de Juliers ""uf daz werteyl mijns huses zu Jaasa und daz werteyl der gerithe welde und uf das dorf zu Binzensassen halbes""",De Raadt II p 139/Düss Jul Berg no 316,,,
